case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
AIP5-adding-crv-aave,64,0.5022893472591143,0.8742006344102862,0.9437723396661231,0.5022893472591143,3,1.0,True,1.0,50,controlled,whale_control
AIP6-add-gemini-usd-(gusd),30,0.5371675100169058,0.9509101313473527,0.9741195932466297,0.5371675100169058,3,1.0,True,1.0,30,controlled,whale_control
AIP7-aavenomics-quarterly-upgrade,62,0.3601689144115821,0.8421324606987147,0.9186117644389167,0.3601689144115821,3,0.3428,False,0.3428,50,widely_held_block,delegate_block
case-$aave-token-alignment.-phase,456,0.18506168471823126,0.398461430834802,0.5447444415512721,0.18506168471823126,6,0.2169,False,0.2169,50,widely_held_block,delegate_block
case-[arc]--chaos-labs-risk-paramet,7407,0.27114354560631326,0.5151824512069479,0.7003687801024496,0.27114354560631326,8,0.3301,False,0.3301,50,widely_held_block,delegate_block
case-[arc]-aave-ethereum-deployment,5122,0.17194113690701338,0.47503048257752384,0.7590243619124417,0.17194113690701338,7,0.1483,False,0.1449,50,widely_held_block,delegate_block
case-[arc]-aave-ethereum-market,7931,0.18752094693524268,0.4828530364945973,0.7022015409273796,0.18752094693524268,7,0.2041,False,0.2041,50,widely_held_block,delegate_block
case-[arc]-aave-fantom,2027,0.3406744188695652,0.827077965789131,0.9556558264649643,0.3406744188695652,4,0.3525,False,0.3525,50,widely_held_block,delegate_block
case-[arc]-aave-polygon-wmatic,3721,0.27584206595934857,0.5754598370326757,0.8196115300890485,0.27584206595934857,6,0.3266,False,0.3266,50,widely_held_block,delegate_block
case-[arc]-add-lusd-ethereum,10008,0.3144974293492034,0.7308288596215229,0.9201804528313394,0.3144974293492034,6,0.3136,False,0.3136,50,widely_held_block,delegate_block
case-[arc]-add-maticx-polygon,3463,0.31715565402063894,0.6251886608866482,0.8467242048162765,0.31715565402063894,5,0.3989,False,0.3989,50,widely_held_block,delegate_block
case-[arc]-add-new-knc,2240,0.5759751564971463,0.879444616030455,0.977094891679663,0.5759751564971463,4,1.0,True,1.0,50,controlled,whale_control
case-[arc]-add-safety-module-suppor,9606,0.3657790610755954,0.6319135009082347,0.8814240363124817,0.3657790610755954,6,0.4858,False,0.4858,50,widely_held_block,delegate_block
case-[arc]-change-admin-role,1513,0.3588434508636701,0.7921610749629404,0.9515710275276644,0.3588434508636701,5,0.4133,False,0.4133,50,widely_held_block,delegate_block
case-[arc]-community-preference-for,3142,0.33282379319004424,0.5932368858047297,0.8148095638554784,0.33282379319004424,7,0.4336,False,0.4336,50,widely_held_block,delegate_block
case-[arc]-community-risk-preferenc,10119,0.29460682945896083,0.5287859575970825,0.7305459613385465,0.29460682945896083,8,0.366,False,0.366,50,widely_held_block,delegate_block
case-[arc]-compensate-bug-bounty-co,10910,0.39273260179613056,0.677392786347023,0.9436096719191838,0.39273260179613056,5,0.5968,False,0.5968,50,widely_held_block,delegate_block
case-[arc]-delegate-code-conduct,3303,0.42011229286816193,0.7652796729489484,0.9882459608830917,0.42011229286816193,5,0.5309,False,0.5309,50,widely_held_block,delegate_block
case-[arc]-e-mode-parameter-changes,20628,0.337037078131575,0.6128172864715807,0.8007098964946945,0.337037078131575,8,0.4464,False,0.4464,50,widely_held_block,delegate_block
case-[arc]-emission_admin-for-polyg,3278,0.3070528006204975,0.805865072935008,0.9498756349490792,0.3070528006204975,5,0.3372,False,0.3372,50,widely_held_block,delegate_block
case-[arc]-erc4626-strategies,6762,0.13804334619303704,0.3925188601421745,0.5305219527668324,0.13804334619303704,11,0.1405,False,0.1405,50,widely_held_block,delegate_block
