case_id,n_voters,c1,c3,c5,max_block,n_block_holders,ss_max,ss_controlled,ss_top1,n_voters_in_ss,taxonomy,controller_type
"EP1-after-successful-dao-vote,",2,0.8863397163986846,1.0,1.0,0.8863397163986846,2,1.0,True,1.0,2,controlled,whale_control
EP11-end-the-$ens-and-airdrops,1091,0.07755337546587991,0.2142589932843551,0.3246985184923694,0.07755337546587991,5,0.0807,False,0.0798,50,widely_held_block,delegate_block
EP12-working-group-rules,604,0.08077487646567773,0.2335864949628711,0.3654173895241268,0.08077487646567773,7,0.0849,False,0.0849,50,widely_held_block,delegate_block
EP13-fund-the-protocol-guild-pilot,592,0.050562566667486604,0.15097572709430643,0.2463839787981696,0.050562566667486604,4,0.051,False,0.0501,50,widely_held_block,delegate_block
EP14-dissolve-community-working-gro,489,0.060715521908941895,0.17114885627679435,0.27360813589885613,0.060715521908941895,4,0.0623,False,0.0623,50,widely_held_block,delegate_block
EP14-funding-true-names-ltd,209,0.09573787596905883,0.2765698916540712,0.4302963349347787,0.09573787596905883,11,0.104,False,0.0956,50,widely_held_block,delegate_block
EP16.1-2022-meta-governance,808,0.05502480548422507,0.15719453374306538,0.2531592338245489,0.05502480548422507,2,0.0551,False,0.0551,50,widely_held_block,delegate_block
EP16.2-2022-ecosystem,675,0.10253331383473403,0.2863935978558235,0.4548437402457534,0.10253331383473403,11,0.1042,False,0.1042,50,widely_held_block,delegate_block
EP16.3-2022-public,768,0.11398865391517507,0.3129411174427603,0.48840305242133275,0.11398865391517507,11,0.1193,False,0.1193,50,widely_held_block,delegate_block
EP2-retrospective-airdrop-for-acco,803,0.07387912516160962,0.2043285439331663,0.30528717735272526,0.07387912516160962,4,0.0735,False,0.0735,50,widely_held_block,delegate_block
EP2.2.4-ens-endaoment,862,0.08736778638503298,0.24620633201038516,0.38569177403323335,0.08736778638503298,9,0.091,False,0.091,50,widely_held_block,delegate_block
EP2.2.5-selection-ens-endowment,1495,0.0784774378202957,0.2096247506663728,0.31994069825916227,0.0784774378202957,7,0.088,False,0.088,50,widely_held_block,delegate_block
EP3-amend-airdrop-proposal-include,560,0.15063645733950456,0.3706135483547505,0.5456670778007026,0.15063645733950456,9,0.1632,False,0.1632,50,widely_held_block,delegate_block
EP3.4-fund-the-endowment-(first-tran,256,0.1104934249510137,0.2984470075892972,0.47328418775828096,0.1104934249510137,10,0.117,False,0.117,50,widely_held_block,delegate_block
EP3.5-activate-new-.eth-controller-a,162,0.08522073460854605,0.22591200268698902,0.3446003286848823,0.08522073460854605,7,0.0907,False,0.0907,50,widely_held_block,delegate_block
EP3.6-election-new-ens-foundation,1195,0.055145418544874106,0.15551383179137554,0.24675877233126697,0.055145418544874106,2,0.0547,False,0.0547,50,widely_held_block,delegate_block
EP3.7-approval-ens-name-normalizatio,658,0.0949757545572188,0.26051146795889757,0.41458527338112666,0.0949757545572188,11,0.1013,False,0.1013,50,widely_held_block,delegate_block
EP4-proposal:-create-foundational-,542,0.1117050082130755,0.2756904252741561,0.41073631133881683,0.1117050082130755,9,0.119,False,0.119,50,widely_held_block,delegate_block
EP4.10-proposal:-transfer-ens-root-ke,352,0.12820713154189214,0.3056175869959542,0.455422536660972,0.12820713154189214,10,0.1417,False,0.1417,50,widely_held_block,delegate_block
EP4.2-fund-the-endowment-(second-tra,226,0.0964539509175477,0.27826882453160595,0.4417282344005234,0.0964539509175477,11,0.099,False,0.0947,50,widely_held_block,delegate_block
EP4.3-refund-invalid-.eth-names,224,0.09641025170386207,0.2781427526733816,0.44152810598356984,0.09641025170386207,11,0.0979,False,0.0979,50,widely_held_block,delegate_block
EP4.5-endowment-permissions-karpatke,172,0.18236883347792257,0.426241767723796,0.6119187981388039,0.18236883347792257,8,0.2016,False,0.2016,50,widely_held_block,delegate_block
EP4.6-october-2023-working-group-fun,136,0.20498330889127078,0.44697249609663176,0.6361192745914771,0.20498330889127078,7,0.2353,False,0.2353,50,widely_held_block,delegate_block
EP4.9-select-providers-for-streams,332,0.10690680398507363,0.2548422936729676,0.37975865516724894,0.10690680398507363,6,0.1146,False,0.1146,50,widely_held_block,delegate_block
EP5-set-the-temporary-premium-star,463,0.06763353863009398,0.18646697997332143,0.28137891212650157,0.06763353863009398,4,0.0673,False,0.066,50,widely_held_block,delegate_block
EP5.1-upgrade-dnssec-support,179,0.13802477267017932,0.3456245268703509,0.5042938658909646,0.13802477267017932,10,0.1427,False,0.1427,50,widely_held_block,delegate_block
EP5.10-confirming-the-ens-dao-securit,141,0.16184833830149337,0.36995232619766844,0.5603156717145146,0.16184833830149337,9,0.1754,False,0.1754,50,widely_held_block,delegate_block
EP5.12-roles-modifier-migration,77,0.1737314522679134,0.3704488974738755,0.5603652135149956,0.1737314522679134,9,0.1857,False,0.1857,50,widely_held_block,delegate_block
EP5.14-endowment-permissions-karpatke,130,0.14084111070398753,0.32942125449322546,0.5041438174221827,0.14084111070398753,10,0.1556,False,0.1556,50,widely_held_block,delegate_block
EP5.15-ens-governor-improvement-propo,107,0.11719156811445247,0.29075999307285105,0.452081115573724,0.11719156811445247,11,0.1202,False,0.1202,50,widely_held_block,delegate_block
EP5.16-reimbursement-ens-labs’-legal,41,0.10800006625550043,0.32223532670992033,0.5120447132151922,0.10800006625550043,8,0.1133,False,0.111,41,widely_held_block,delegate_block
EP5.18-ens-dao-steward-compensation-s,155,0.09059778980027605,0.2235373953916016,0.3441109086845723,0.09059778980027605,7,0.0901,False,0.0901,50,widely_held_block,delegate_block
EP5.19-governance-distribution-pilot-,133,0.07460686368925717,0.20453097922425528,0.3132823384688178,0.07460686368925717,8,0.0778,False,0.0777,50,widely_held_block,delegate_block
EP5.2-determine-ens-labs’-next-steps,452,0.147160675374382,0.37395602875736944,0.5693038168719351,0.147160675374382,7,0.1558,False,0.1558,50,widely_held_block,delegate_block
EP5.21-governance-security-bounty,151,0.07004878066006003,0.19298708231242154,0.295728787482093,0.07004878066006003,4,0.0741,False,0.0741,50,widely_held_block,delegate_block
"EP5.24-term-q4,-collective-working",46,0.1452907780478881,0.35791404284242145,0.5508135604606589,0.1452907780478881,8,0.1517,False,0.1517,46,widely_held_block,delegate_block
EP5.27-revoke-the-dao's-ability,48,0.11650138759521482,0.2961239139602254,0.4602026509401882,0.11650138759521482,9,0.1253,False,0.1253,48,widely_held_block,delegate_block
